M&M Stock Price,Year,Month
2984.00,2024,12
2780.00,2024,11
3105.50,2024,10
2848.80,2024,9
2926.50,2024,8
2841.00,2024,7
2575.05,2024,6
2156.35,2024,5
1938.00,2024,4
1933.60,2024,3
1659.25,2024,2
1729.40,2024,1
1656.00,2023,12
1464.90,2023,11
1554.25,2023,10
1577.00,2023,9
1475.20,2023,8
1470.00,2023,7
1319.00,2023,6
1226.90,2023,5
1161.30,2023,4
1275.95,2023,3
1386.55,2023,2
1251.00,2023,1
1315.00,2022,12
1361.00,2022,11
1269.95,2022,10
1280.00,2022,9
1189.40,2022,8
1092.40,2022,7
1035.00,2022,6
915.00,2022,5
811.00,2022,4
790.85,2022,3
892.00,2022,2
835.00,2022,1
836.00,2021,12
884.25,2021,11
800.00,2021,10
793.30,2021,9
750.00,2021,8
778.00,2021,7
813.00,2021,6
744.90,2021,5
801.50,2021,4
821.00,2021,3
753.00,2021,2
725.00,2021,1
736.40,2020,12
592.00,2020,11
614.70,2020,10
610.00,2020,9
610.00,2020,8
513.75,2020,7
441.85,2020,6
366.65,2020,5
281.00,2020,4
453.55,2020,3
566.00,2020,2
532.90,2020,1
