Month,Total Sales,Year
1,59367,2020
2,64937,2020
3,35216,2020
4,12456,2020
5,64860,2020
6,98648,2020
7,70645,2020
8,72581,2020
9,116185,2020
10,123883,2020
11,89530,2020
12,71740,2020
1,87579,2021
2,84690,2021
3,95231,2021
4,72340,2021
5,63313,2021
6,120437,2021
7,76403,2021
8,65481,2021
9,105155,2021
10,127809,2021
11,74573,2021
12,55614,2021
1,63257,2022
2,62338,2022
3,84182,2022
4,99916,2022
5,93522,2022
6,107326,2022
7,67047,2022
8,64809,2022
9,125006,2022
10,132413,2022
11,77824,2022
12,66271,2022
1,73399,2023
2,69673,2023
3,92647,2023
4,86940,2023
5,91263,2023
6,106620,2023
7,67043,2023
8,62123,2023
9,105457,2023
10,125418,2023
11,78988,2023
12,52126,2023
1,62774,2024
2,51764,2024
3,74549,2024
4,84404,2024
5,91757,2024
6,110348,2024
7,67952,2024
8,58733,2024
9,108030,2024
10,151772,2024
11,78263,2024
12,59067,2024
